run_id,since,until,trigger_time,new_count,source,pushed,note
20260512_run1644,20260509,20260511,2026-05-12 16:44:16,0,all,False,
20260513_run1156,20260509,20260512,2026-05-13 11:56:41,0,all,False,
20260520_run0601,20260519,20260519,2026-05-20 06:02:37,6,all,False,
20260522_run0208,20260521,20260521,2026-05-22 02:09:10,4,all,False,
20260523_run0156,20260522,20260522,2026-05-23 01:58:40,0,all,False,
20260524_run0204,20260523,20260523,2026-05-24 02:07:06,13,all,False,
20260525_run0213,20260524,20260524,2026-05-25 02:13:45,10,all,False,
20260526_run0203,20260525,20260525,2026-05-26 02:04:55,1,all,False,
20260527_run0211,20260526,20260526,2026-05-27 02:12:19,7,all,False,
20260528_run0154,20260527,20260527,2026-05-28 01:56:12,8,all,False,
20260529_run0203,20260528,20260528,2026-05-29 02:04:36,11,all,False,
20260603_run0240,20260602,20260602,2026-06-03 02:40:53,8,all,False,
20260604_run0235,20260603,20260603,2026-06-04 02:36:43,8,all,False,
20260605_run0210,20260604,20260604,2026-06-05 02:11:32,9,all,False,
20260606_run0201,20260605,20260605,2026-06-06 02:02:29,8,all,False,
20260607_run0228,20260606,20260606,2026-06-07 02:31:17,0,all,False,
20260608_run0233,20260607,20260607,2026-06-08 02:35:22,12,all,False,
20260608_run0333,20260529,20260601,2026-06-08 03:34:13,16,all,False,
20260609_run0158,20260608,20260608,2026-06-09 01:59:00,3,all,False,
20260610_run0210,20260609,20260609,2026-06-10 02:12:21,7,all,False,
20260611_run0233,20260610,20260610,2026-06-11 02:35:00,7,all,False,
20260612_run0228,20260611,20260611,2026-06-12 02:32:12,32,all,False,
20260613_run0209,20260612,20260612,2026-06-13 02:10:03,5,all,False,
20260614_run0232,20260613,20260613,2026-06-14 02:33:42,0,all,False,
20260615_run0237,20260614,20260614,2026-06-15 02:42:48,7,all,False,
20260616_run0239,20260615,20260615,2026-06-16 02:41:28,0,all,False,
20260617_run0237,20260616,20260616,2026-06-17 02:39:48,25,all,False,
20260618_run0234,20260617,20260617,2026-06-18 02:41:31,0,all,False,
20260619_run0250,20260618,20260618,2026-06-19 02:51:29,6,all,False,
20260620_run0211,20260619,20260619,2026-06-20 02:12:44,0,all,False,
20260621_run0235,20260620,20260620,2026-06-21 02:36:26,7,all,False,
20260622_run0238,20260621,20260621,2026-06-22 02:40:05,0,all,False,
20260623_run0205,20260622,20260622,2026-06-23 02:06:15,4,all,False,
20260624_run0207,20260623,20260623,2026-06-24 02:08:39,0,all,False,
20260625_run0207,20260624,20260624,2026-06-25 02:08:28,5,all,False,
20260626_run0208,20260625,20260625,2026-06-26 02:10:19,0,all,False,
20260627_run0203,20260626,20260626,2026-06-27 02:04:11,4,all,False,
20260628_run0214,20260627,20260627,2026-06-28 02:15:14,2,all,False,
20260629_run0214,20260628,20260628,2026-06-29 02:14:44,12,all,False,
20260630_run0209,20260629,20260629,2026-06-30 02:09:44,0,all,False,
20260701_run0213,20260630,20260630,2026-07-01 02:13:58,2,all,False,
20260702_run0206,20260701,20260701,2026-07-02 02:06:33,0,all,False,
20260703_run0150,20260702,20260702,2026-07-03 01:50:23,2,all,False,
20260704_run0150,20260703,20260703,2026-07-04 01:50:19,0,all,False,
20260705_run0155,20260704,20260704,2026-07-05 01:55:55,0,all,False,
20260706_run0202,20260705,20260705,2026-07-06 02:03:00,4,all,False,
20260707_run0157,20260706,20260706,2026-07-07 01:58:04,0,all,False,
20260708_run0127,20260707,20260707,2026-07-08 01:27:57,1,all,False,
20260709_run0149,20260708,20260708,2026-07-09 01:49:46,1,all,False,
20260710_run0148,20260709,20260709,2026-07-10 01:48:47,0,all,False,
20260711_run0127,20260710,20260710,2026-07-11 01:27:47,0,all,False,
20260712_run0128,20260711,20260711,2026-07-12 01:29:15,0,all,False,
20260713_run0129,20260712,20260712,2026-07-13 01:30:14,0,all,False,
20260714_run0119,20260713,20260713,2026-07-14 01:19:24,0,all,False,
20260715_run0116,20260714,20260714,2026-07-15 01:16:41,3,all,False,
20260716_run0126,20260715,20260715,2026-07-16 01:26:23,2,all,False,
20260717_run0129,20260716,20260716,2026-07-17 01:29:20,0,all,False,
20260718_run0120,20260717,20260717,2026-07-18 01:21:05,0,all,False,
